campaign_id,campaign_name,campaign_type,target_industry,budget,clicks,impressions,conversions,conversion_rate,status,launch_date
31,Product Launch 31,Product Launch,Technology,16401,3636,110968,359,9.88,Active,2026-05-15
32,Awareness Campaign 32,Awareness Campaign,Real Estate,95326,4117,150000,297,7.23,Active,2026-01-27
33,Festival Offer 33,Festival Offer,Technology,32082,8238,150000,1072,13.02,Completed,2026-03-04
34,Retargeting 34,Retargeting,Real Estate,27069,3881,110748,512,13.21,Active,2026-05-17
35,Retargeting 35,Retargeting,E-commerce,17481,1619,83275,242,14.95,Active,2026-02-17
36,Product Launch 36,Product Launch,Technology,90969,10253,150000,1178,11.5,Active,2026-04-15
37,Festival Offer 37,Festival Offer,Technology,93635,9312,150000,1101,11.83,Active,2026-04-23
38,Discount Campaign 38,Discount Campaign,Education,14898,2408,44873,297,12.34,Completed,2026-01-26
39,Product Launch 39,Product Launch,E-commerce,53374,12025,150000,981,8.16,Paused,2026-01-19
40,Awareness Campaign 40,Awareness Campaign,Retail,65089,11201,150000,861,7.69,Completed,2026-04-09
41,Discount Campaign 41,Discount Campaign,Healthcare,61314,5440,150000,695,12.78,Completed,2026-05-18
42,Retargeting 42,Retargeting,Real Estate,22117,6427,97106,697,10.86,Paused,2026-04-03
43,Email Marketing 43,Email Marketing,Retail,18051,3959,46743,392,9.91,Completed,2026-04-14
44,Festival Offer 44,Festival Offer,Education,64836,9996,150000,1206,12.07,Active,2026-03-02
45,Festival Offer 45,Festival Offer,E-commerce,44566,9614,150000,1316,13.7,Active,2026-01-21
46,Product Launch 46,Product Launch,Retail,53738,9266,149651,884,9.55,Completed,2026-04-28
47,Awareness Campaign 47,Awareness Campaign,E-commerce,35689,3345,107906,199,5.97,Active,2026-02-14
48,Email Marketing 48,Email Marketing,Healthcare,82814,10075,150000,1102,10.94,Active,2026-05-20
49,Email Marketing 49,Email Marketing,Technology,60353,3254,150000,365,11.23,Completed,2026-03-09
50,Email Marketing 50,Email Marketing,Retail,46071,11400,150000,1002,8.8,Active,2026-05-20
51,Festival Offer 51,Festival Offer,E-commerce,93753,9562,150000,1270,13.29,Active,2026-05-17
52,Discount Campaign 52,Discount Campaign,Finance,99690,9180,150000,1280,13.94,Active,2026-05-06
53,Discount Campaign 53,Discount Campaign,Technology,33474,8882,150000,994,11.2,Active,2026-04-18
54,Discount Campaign 54,Discount Campaign,Finance,61280,3197,150000,361,11.32,Active,2026-02-13
55,Retargeting 55,Retargeting,Real Estate,83644,2551,150000,361,14.15,Completed,2026-04-01
56,Awareness Campaign 56,Awareness Campaign,Finance,31928,5574,150000,252,4.53,Paused,2026-02-22
57,Email Marketing 57,Email Marketing,Technology,36370,8931,150000,628,7.04,Paused,2026-04-22
58,Retargeting 58,Retargeting,Retail,52329,8644,150000,1166,13.5,Completed,2026-01-11
59,Product Launch 59,Product Launch,Real Estate,94514,3071,150000,261,8.51,Active,2026-03-31
60,Retargeting 60,Retargeting,Retail,6807,1430,19281,161,11.32,Active,2026-05-01
61,Retargeting 61,Retargeting,Finance,87388,6775,150000,1131,16.7,Completed,2026-03-27
62,Awareness Campaign 62,Awareness Campaign,Real Estate,75471,8002,150000,530,6.63,Completed,2026-04-07
63,Festival Offer 63,Festival Offer,Technology,25365,11638,150000,1090,9.37,Paused,2026-04-25
64,Awareness Campaign 64,Awareness Campaign,E-commerce,13665,3481,105819,226,6.51,Active,2026-03-26
65,Festival Offer 65,Festival Offer,Retail,61948,9743,150000,1094,11.24,Active,2026-01-13
66,Awareness Campaign 66,Awareness Campaign,E-commerce,28022,4093,150000,320,7.82,Active,2026-02-03
67,Product Launch 67,Product Launch,Real Estate,72793,3677,150000,366,9.96,Completed,2026-01-05
68,Product Launch 68,Product Launch,E-commerce,20473,5028,142064,426,8.49,Completed,2026-04-19
69,Email Marketing 69,Email Marketing,Finance,98365,7996,150000,942,11.78,Completed,2026-03-29
70,Email Marketing 70,Email Marketing,Education,79302,12310,150000,1104,8.97,Active,2026-04-19
71,Awareness Campaign 71,Awareness Campaign,E-commerce,20117,4397,55165,317,7.23,Active,2026-05-07
72,Festival Offer 72,Festival Offer,Retail,66835,13053,150000,1587,12.16,Active,2026-01-12
73,Email Marketing 73,Email Marketing,Real Estate,98588,6932,150000,697,10.06,Completed,2026-03-09
74,Awareness Campaign 74,Awareness Campaign,Finance,40554,8385,128017,655,7.81,Completed,2026-04-03
75,Email Marketing 75,Email Marketing,Healthcare,34253,3025,150000,334,11.04,Completed,2026-05-18
76,Discount Campaign 76,Discount Campaign,Technology,42002,6155,124961,814,13.23,Completed,2026-01-29
77,Product Launch 77,Product Launch,Healthcare,43219,7469,150000,471,6.31,Paused,2026-01-13
78,Retargeting 78,Retargeting,Education,30614,3943,150000,545,13.84,Completed,2026-05-13
79,Discount Campaign 79,Discount Campaign,Retail,35539,2357,150000,233,9.91,Paused,2026-03-10
80,Product Launch 80,Product Launch,Retail,91154,4558,150000,451,9.91,Active,2026-01-13
81,Festival Offer 81,Festival Offer,Education,69491,5398,150000,691,12.82,Completed,2026-05-20
82,Email Marketing 82,Email Marketing,Healthcare,73125,10663,150000,1235,11.59,Active,2026-02-23
83,Retargeting 83,Retargeting,Retail,71247,8637,150000,1352,15.66,Active,2026-04-21
84,Discount Campaign 84,Discount Campaign,E-commerce,22132,7031,93674,842,11.98,Active,2026-02-18
85,Awareness Campaign 85,Awareness Campaign,Technology,47762,4199,139024,290,6.92,Active,2026-05-22
86,Retargeting 86,Retargeting,Retail,25369,2579,107239,336,13.05,Active,2026-01-06
87,Product Launch 87,Product Launch,Technology,32215,3267,150000,231,7.09,Paused,2026-05-19
88,Awareness Campaign 88,Awareness Campaign,Finance,97367,5937,150000,416,7.02,Completed,2026-04-27
89,Email Marketing 89,Email Marketing,E-commerce,37534,3888,103940,411,10.59,Completed,2026-04-06
90,Festival Offer 90,Festival Offer,Retail,58004,3315,150000,390,11.77,Completed,2026-03-25
91,Email Marketing 91,Email Marketing,Technology,23322,4750,150000,407,8.59,Active,2026-05-17
92,Festival Offer 92,Festival Offer,Technology,57505,8801,150000,1099,12.49,Active,2026-05-29
93,Product Launch 93,Product Launch,Technology,14828,5340,110672,378,7.09,Active,2026-01-26
94,Festival Offer 94,Festival Offer,Retail,48456,11351,134635,1387,12.23,Active,2026-03-18
95,Discount Campaign 95,Discount Campaign,Technology,99952,4194,150000,523,12.49,Active,2026-02-11
96,Festival Offer 96,Festival Offer,Healthcare,41042,6784,110426,831,12.25,Active,2026-05-09
97,Festival Offer 97,Festival Offer,E-commerce,43680,3236,150000,383,11.85,Paused,2026-03-29
98,Discount Campaign 98,Discount Campaign,Healthcare,59949,9345,150000,1238,13.25,Active,2026-03-02
99,Retargeting 99,Retargeting,Technology,7559,1888,33827,291,15.45,Completed,2026-04-15
100,Discount Campaign 100,Discount Campaign,Finance,79141,5837,150000,651,11.17,Paused,2026-05-16
101,Festival Offer 101,Festival Offer,Retail,41822,10876,150000,1345,12.37,Active,2026-05-12
102,Festival Offer 102,Festival Offer,Healthcare,18124,7323,98509,668,9.12,Active,2026-03-01
103,Awareness Campaign 103,Awareness Campaign,Retail,33758,12771,150000,695,5.45,Paused,2026-03-06
104,Festival Offer 104,Festival Offer,Healthcare,36005,12532,150000,1205,9.62,Paused,2026-02-15
105,Email Marketing 105,Email Marketing,E-commerce,96823,12919,150000,1537,11.9,Active,2026-04-21
106,Discount Campaign 106,Discount Campaign,Real Estate,45508,7685,127828,761,9.91,Active,2026-04-09
107,Email Marketing 107,Email Marketing,Real Estate,67650,3718,150000,373,10.05,Active,2026-03-21
108,Awareness Campaign 108,Awareness Campaign,Healthcare,47413,3843,150000,213,5.54,Active,2026-01-29
109,Email Marketing 109,Email Marketing,Technology,73982,12846,150000,1731,13.48,Completed,2026-05-29
110,Discount Campaign 110,Discount Campaign,Real Estate,18242,10035,143514,960,9.57,Active,2026-04-15
111,Discount Campaign 111,Discount Campaign,Technology,88789,13148,150000,1978,15.05,Completed,2026-05-13
112,Awareness Campaign 112,Awareness Campaign,Real Estate,51769,5701,150000,345,6.07,Active,2026-04-24
113,Awareness Campaign 113,Awareness Campaign,Finance,21691,7997,137977,376,4.71,Active,2026-03-03
114,Retargeting 114,Retargeting,Retail,28865,4735,150000,717,15.16,Completed,2026-01-02
115,Retargeting 115,Retargeting,Retail,70035,13301,150000,2053,15.44,Active,2026-04-29
116,Festival Offer 116,Festival Offer,E-commerce,16629,4350,108272,539,12.41,Completed,2026-01-11
117,Email Marketing 117,Email Marketing,Finance,32483,2935,127061,231,7.9,Active,2026-05-19
118,Email Marketing 118,Email Marketing,Retail,55585,6907,150000,632,9.16,Active,2026-05-27
119,Discount Campaign 119,Discount Campaign,Finance,76568,8753,150000,1241,14.19,Active,2026-03-11
120,Awareness Campaign 120,Awareness Campaign,Healthcare,26319,1165,70634,59,5.1,Paused,2026-04-25
121,Product Launch 121,Product Launch,Retail,14725,1028,49843,85,8.36,Active,2026-01-24
122,Email Marketing 122,Email Marketing,Finance,82860,7102,150000,893,12.58,Completed,2026-05-31
123,Awareness Campaign 123,Awareness Campaign,Healthcare,84602,4562,150000,322,7.07,Completed,2026-01-14
124,Festival Offer 124,Festival Offer,Education,96382,9681,150000,1072,11.08,Paused,2026-04-30
125,Product Launch 125,Product Launch,Healthcare,17571,3317,125091,252,7.62,Active,2026-01-13
126,Product Launch 126,Product Launch,Retail,61047,7653,150000,717,9.37,Active,2026-04-13
127,Email Marketing 127,Email Marketing,Retail,32125,7420,94789,599,8.08,Active,2026-03-22
128,Product Launch 128,Product Launch,Technology,57096,9470,150000,860,9.08,Paused,2026-05-22
129,Discount Campaign 129,Discount Campaign,Healthcare,53630,5212,150000,646,12.41,Completed,2026-02-01
130,Discount Campaign 130,Discount Campaign,Finance,34654,7761,115440,977,12.59,Completed,2026-05-23
131,Email Marketing 131,Email Marketing,Retail,92574,8884,150000,917,10.32,Active,2026-02-07
132,Retargeting 132,Retargeting,Retail,55738,12002,150000,1722,14.36,Completed,2026-02-18
133,Discount Campaign 133,Discount Campaign,Real Estate,35886,10285,150000,785,7.64,Paused,2026-04-27
134,Retargeting 134,Retargeting,Real Estate,72740,3603,150000,552,15.33,Completed,2026-05-31
135,Discount Campaign 135,Discount Campaign,Healthcare,26910,4018,85951,523,13.03,Completed,2026-05-28
136,Awareness Campaign 136,Awareness Campaign,Education,31465,5151,150000,339,6.58,Completed,2026-02-04
137,Awareness Campaign 137,Awareness Campaign,Technology,13783,6047,76306,397,6.57,Active,2026-02-05
138,Retargeting 138,Retargeting,Education,6620,1653,35576,224,13.57,Completed,2026-01-06
139,Discount Campaign 139,Discount Campaign,Healthcare,24424,3377,150000,335,9.95,Paused,2026-05-07
140,Email Marketing 140,Email Marketing,Real Estate,18237,10822,133873,1017,9.4,Completed,2026-04-07
141,Product Launch 141,Product Launch,Education,90824,5348,150000,407,7.63,Paused,2026-05-22
142,Festival Offer 142,Festival Offer,Real Estate,84777,12138,150000,1396,11.51,Completed,2026-01-24
143,Awareness Campaign 143,Awareness Campaign,Healthcare,11460,1407,85189,103,7.36,Completed,2026-03-06
144,Product Launch 144,Product Launch,Finance,41745,13190,150000,1407,10.67,Completed,2026-01-18
145,Festival Offer 145,Festival Offer,Healthcare,44384,5280,150000,614,11.63,Completed,2026-01-19
146,Discount Campaign 146,Discount Campaign,Real Estate,89614,6830,150000,814,11.93,Active,2026-03-20
147,Discount Campaign 147,Discount Campaign,Technology,72698,4038,150000,628,15.56,Completed,2026-04-22
148,Product Launch 148,Product Launch,E-commerce,71426,8647,150000,997,11.54,Active,2026-05-17
149,Festival Offer 149,Festival Offer,Healthcare,31309,12577,150000,1301,10.35,Completed,2026-05-14
150,Awareness Campaign 150,Awareness Campaign,Healthcare,40910,12634,150000,820,6.49,Active,2026-03-17
151,Awareness Campaign 151,Awareness Campaign,Retail,36711,10247,127633,612,5.98,Active,2026-03-21
152,Retargeting 152,Retargeting,Real Estate,50843,11597,150000,1659,14.31,Active,2026-03-16
153,Email Marketing 153,Email Marketing,Finance,8597,4241,48550,326,7.69,Active,2026-05-16
154,Festival Offer 154,Festival Offer,E-commerce,34505,2475,150000,289,11.71,Completed,2026-04-03
155,Awareness Campaign 155,Awareness Campaign,Retail,67140,2345,150000,176,7.54,Completed,2026-01-27
156,Product Launch 156,Product Launch,Real Estate,45037,12324,150000,1124,9.13,Completed,2026-03-08
157,Product Launch 157,Product Launch,Education,38029,9265,150000,639,6.91,Active,2026-02-05
158,Retargeting 158,Retargeting,Retail,5963,1833,42564,210,11.49,Paused,2026-01-19
159,Awareness Campaign 159,Awareness Campaign,Real Estate,84829,6033,150000,431,7.15,Active,2026-03-02
160,Product Launch 160,Product Launch,E-commerce,47616,12289,150000,1214,9.88,Completed,2026-03-10
161,Product Launch 161,Product Launch,Healthcare,24651,5497,69325,297,5.42,Paused,2026-02-04
162,Retargeting 162,Retargeting,Education,91577,7845,150000,1052,13.42,Active,2026-05-18
163,Product Launch 163,Product Launch,Finance,59862,13440,150000,1291,9.61,Active,2026-03-25
164,Festival Offer 164,Festival Offer,Finance,98502,12448,150000,1531,12.3,Active,2026-02-18
165,Awareness Campaign 165,Awareness Campaign,Finance,71494,8530,150000,572,6.71,Active,2026-04-08
166,Product Launch 166,Product Launch,Retail,66706,10832,150000,831,7.68,Active,2026-01-18
167,Festival Offer 167,Festival Offer,E-commerce,48992,12053,150000,1478,12.27,Completed,2026-02-05
168,Discount Campaign 168,Discount Campaign,Technology,48426,3575,150000,477,13.36,Active,2026-02-20
169,Email Marketing 169,Email Marketing,Technology,88151,12256,150000,1352,11.03,Paused,2026-03-19
170,Retargeting 170,Retargeting,Retail,94220,11860,150000,1671,14.1,Active,2026-02-08
171,Festival Offer 171,Festival Offer,Healthcare,49914,7397,150000,836,11.31,Active,2026-02-14
172,Product Launch 172,Product Launch,Technology,98804,13349,150000,1220,9.14,Active,2026-03-10
173,Product Launch 173,Product Launch,E-commerce,12603,2329,84270,186,8.02,Active,2026-05-06
174,Festival Offer 174,Festival Offer,Education,16539,3793,80408,352,9.3,Active,2026-05-03
175,Discount Campaign 175,Discount Campaign,Education,5611,410,25541,39,9.6,Active,2026-01-16
176,Product Launch 176,Product Launch,Technology,74603,5049,150000,551,10.93,Active,2026-03-07
177,Awareness Campaign 177,Awareness Campaign,Finance,45906,4128,150000,270,6.55,Active,2026-03-29
178,Email Marketing 178,Email Marketing,Finance,43119,7128,150000,588,8.26,Paused,2026-05-26
179,Awareness Campaign 179,Awareness Campaign,Healthcare,49922,4104,150000,298,7.27,Completed,2026-01-19
180,Discount Campaign 180,Discount Campaign,Retail,34939,2129,127930,269,12.65,Active,2026-04-12
181,Retargeting 181,Retargeting,Healthcare,21143,4618,57202,639,13.85,Active,2026-02-20
182,Product Launch 182,Product Launch,Technology,75088,3466,150000,394,11.38,Completed,2026-01-04
183,Email Marketing 183,Email Marketing,Retail,95406,5093,150000,510,10.03,Active,2026-04-28
184,Awareness Campaign 184,Awareness Campaign,Healthcare,31934,8577,132722,599,6.99,Completed,2026-01-12
185,Awareness Campaign 185,Awareness Campaign,Real Estate,40386,12359,150000,877,7.1,Completed,2026-04-19
186,Retargeting 186,Retargeting,E-commerce,85962,4484,150000,674,15.04,Active,2026-01-12
187,Festival Offer 187,Festival Offer,Technology,39471,6859,150000,927,13.52,Completed,2026-05-13
188,Festival Offer 188,Festival Offer,Retail,76845,5969,150000,544,9.12,Paused,2026-03-14
189,Email Marketing 189,Email Marketing,Retail,93032,7808,150000,705,9.03,Active,2026-01-19
190,Email Marketing 190,Email Marketing,Technology,72070,9498,150000,1146,12.07,Active,2026-02-02
191,Discount Campaign 191,Discount Campaign,Finance,39619,2462,137115,216,8.8,Paused,2026-01-01
192,Product Launch 192,Product Launch,Finance,93705,10779,150000,1122,10.42,Active,2026-04-13
193,Email Marketing 193,Email Marketing,Retail,23139,4942,103348,415,8.41,Completed,2026-01-03
194,Retargeting 194,Retargeting,Finance,17183,2418,53715,307,12.73,Active,2026-01-01
195,Discount Campaign 195,Discount Campaign,Finance,55556,12218,150000,1592,13.03,Completed,2026-03-05
196,Festival Offer 196,Festival Offer,Retail,22368,4043,150000,387,9.58,Completed,2026-03-16
197,Discount Campaign 197,Discount Campaign,Real Estate,68265,6522,150000,817,12.54,Completed,2026-03-01
198,Product Launch 198,Product Launch,Real Estate,8777,4671,57050,394,8.44,Completed,2026-01-06
199,Discount Campaign 199,Discount Campaign,Education,19802,3616,56402,398,11.02,Completed,2026-04-21
200,Email Marketing 200,Email Marketing,E-commerce,93857,4769,150000,511,10.73,Paused,2026-04-20
201,Awareness Campaign 201,Awareness Campaign,Technology,49341,7119,150000,460,6.46,Paused,2026-03-14
202,Awareness Campaign 202,Awareness Campaign,Healthcare,68167,11689,150000,833,7.13,Active,2026-01-14
203,Retargeting 203,Retargeting,Real Estate,12152,3221,64170,431,13.4,Active,2026-02-03
204,Discount Campaign 204,Discount Campaign,Technology,26679,8955,102044,1108,12.37,Active,2026-02-06
205,Email Marketing 205,Email Marketing,Real Estate,34190,3136,150000,189,6.04,Paused,2026-05-04
206,Discount Campaign 206,Discount Campaign,Technology,80108,3585,150000,536,14.97,Active,2026-05-01
207,Discount Campaign 207,Discount Campaign,E-commerce,90638,8427,150000,1172,13.91,Active,2026-04-07
208,Email Marketing 208,Email Marketing,Technology,84194,8576,150000,1073,12.51,Completed,2026-02-05
209,Awareness Campaign 209,Awareness Campaign,E-commerce,64796,4757,150000,389,8.19,Completed,2026-04-14
210,Discount Campaign 210,Discount Campaign,Finance,78420,6337,150000,899,14.2,Completed,2026-02-12
211,Discount Campaign 211,Discount Campaign,Retail,17771,6008,77791,634,10.57,Completed,2026-03-09
212,Product Launch 212,Product Launch,Real Estate,73417,7789,150000,577,7.42,Active,2026-01-19
213,Awareness Campaign 213,Awareness Campaign,E-commerce,99576,3608,150000,287,7.96,Active,2026-05-13
214,Discount Campaign 214,Discount Campaign,Healthcare,64905,10767,150000,1278,11.87,Completed,2026-01-31
215,Email Marketing 215,Email Marketing,E-commerce,93098,9657,150000,1044,10.82,Paused,2026-04-27
216,Retargeting 216,Retargeting,Healthcare,70382,7119,150000,1111,15.61,Active,2026-03-14
217,Retargeting 217,Retargeting,Education,71628,4203,150000,690,16.43,Completed,2026-04-22
218,Festival Offer 218,Festival Offer,Retail,55778,12165,150000,1449,11.92,Completed,2026-02-04
219,Discount Campaign 219,Discount Campaign,Real Estate,95769,13168,150000,1596,12.12,Completed,2026-03-27
220,Discount Campaign 220,Discount Campaign,Technology,22481,8013,150000,1018,12.71,Active,2026-05-18
221,Awareness Campaign 221,Awareness Campaign,Real Estate,46144,4510,150000,352,7.81,Completed,2026-05-30
222,Retargeting 222,Retargeting,E-commerce,43086,9501,139154,1649,17.36,Completed,2026-02-04
223,Festival Offer 223,Festival Offer,Real Estate,76105,6212,150000,699,11.27,Completed,2026-04-09
224,Discount Campaign 224,Discount Campaign,Real Estate,79794,12305,150000,1652,13.43,Completed,2026-01-29
225,Retargeting 225,Retargeting,Finance,60363,3884,150000,589,15.17,Completed,2026-03-28
226,Awareness Campaign 226,Awareness Campaign,Retail,31201,9938,150000,651,6.56,Active,2026-01-06
227,Festival Offer 227,Festival Offer,Technology,13130,1520,87245,166,10.99,Completed,2026-05-01
228,Discount Campaign 228,Discount Campaign,Retail,85754,10602,150000,1496,14.12,Completed,2026-01-08
229,Retargeting 229,Retargeting,Education,36142,10045,150000,1224,12.19,Paused,2026-04-15
230,Email Marketing 230,Email Marketing,Education,55797,13115,150000,1319,10.06,Active,2026-01-24
231,Email Marketing 231,Email Marketing,Retail,37943,7234,150000,709,9.81,Active,2026-03-02
232,Festival Offer 232,Festival Offer,E-commerce,97357,10557,150000,1425,13.5,Completed,2026-02-26
233,Festival Offer 233,Festival Offer,Technology,30362,4353,150000,454,10.43,Active,2026-01-21
234,Festival Offer 234,Festival Offer,E-commerce,72350,5222,150000,617,11.82,Active,2026-03-09
235,Festival Offer 235,Festival Offer,Real Estate,38425,2699,150000,256,9.5,Active,2026-05-13
236,Product Launch 236,Product Launch,Real Estate,11665,3129,83256,240,7.68,Completed,2026-02-05
237,Retargeting 237,Retargeting,Real Estate,51934,13016,150000,1812,13.92,Active,2026-04-25
238,Retargeting 238,Retargeting,Retail,71209,6180,150000,916,14.83,Active,2026-04-11
239,Festival Offer 239,Festival Offer,E-commerce,48500,9205,150000,1084,11.78,Active,2026-02-02
240,Discount Campaign 240,Discount Campaign,Real Estate,90105,12425,150000,1566,12.61,Active,2026-01-20
241,Retargeting 241,Retargeting,Real Estate,36958,12554,150000,1738,13.85,Completed,2026-04-07
242,Email Marketing 242,Email Marketing,Education,38631,11498,150000,706,6.15,Paused,2026-02-07
243,Product Launch 243,Product Launch,Real Estate,71680,4415,150000,319,7.23,Active,2026-04-28
244,Retargeting 244,Retargeting,Retail,17577,1492,95950,209,14.07,Active,2026-01-31
245,Email Marketing 245,Email Marketing,Healthcare,92862,11651,150000,1193,10.24,Completed,2026-04-30
246,Festival Offer 246,Festival Offer,Real Estate,97109,11438,150000,1432,12.52,Completed,2026-03-07
247,Email Marketing 247,Email Marketing,E-commerce,94921,3234,150000,374,11.58,Active,2026-03-30
248,Email Marketing 248,Email Marketing,Healthcare,38018,4906,142645,364,7.42,Paused,2026-05-08
249,Discount Campaign 249,Discount Campaign,Education,87603,3580,150000,427,11.95,Active,2026-04-17
250,Email Marketing 250,Email Marketing,E-commerce,99409,10134,150000,1334,13.17,Completed,2026-03-17
251,Email Marketing 251,Email Marketing,Finance,70907,3223,150000,372,11.56,Active,2026-03-28
252,Discount Campaign 252,Discount Campaign,Education,56788,4723,150000,519,10.99,Completed,2026-01-23
253,Awareness Campaign 253,Awareness Campaign,Education,76529,12228,150000,905,7.4,Active,2026-05-10
254,Awareness Campaign 254,Awareness Campaign,E-commerce,53906,3840,150000,273,7.13,Completed,2026-04-18
255,Email Marketing 255,Email Marketing,Retail,80067,5677,150000,488,8.61,Paused,2026-01-13
256,Awareness Campaign 256,Awareness Campaign,E-commerce,50069,3852,150000,351,9.12,Active,2026-03-07
257,Festival Offer 257,Festival Offer,Healthcare,85856,11246,150000,1313,11.68,Completed,2026-02-17
258,Email Marketing 258,Email Marketing,Technology,76939,3007,150000,296,9.85,Paused,2026-03-13
259,Email Marketing 259,Email Marketing,Healthcare,81099,9624,150000,788,8.19,Paused,2026-01-28
260,Email Marketing 260,Email Marketing,Finance,86201,5943,150000,581,9.78,Active,2026-02-16
261,Awareness Campaign 261,Awareness Campaign,Finance,95892,5808,150000,359,6.2,Paused,2026-04-06
262,Discount Campaign 262,Discount Campaign,Healthcare,5633,2279,36147,267,11.76,Active,2026-02-06
263,Product Launch 263,Product Launch,Technology,52118,7457,150000,767,10.3,Active,2026-03-20
264,Product Launch 264,Product Launch,Technology,45038,3172,150000,213,6.73,Paused,2026-01-09
265,Product Launch 265,Product Launch,Technology,23350,9299,150000,808,8.69,Completed,2026-03-11
266,Awareness Campaign 266,Awareness Campaign,Retail,7441,3029,51860,190,6.29,Completed,2026-01-12
267,Retargeting 267,Retargeting,Healthcare,9804,3950,78363,447,11.33,Paused,2026-04-04
268,Festival Offer 268,Festival Offer,Finance,56445,5523,150000,674,12.22,Active,2026-05-09
269,Discount Campaign 269,Discount Campaign,Real Estate,71900,4937,150000,577,11.69,Active,2026-05-18
270,Retargeting 270,Retargeting,E-commerce,26737,5187,90256,742,14.32,Completed,2026-05-27
271,Retargeting 271,Retargeting,E-commerce,24162,3395,108085,521,15.35,Completed,2026-04-25
272,Discount Campaign 272,Discount Campaign,Healthcare,13239,4403,81780,444,10.1,Active,2026-01-20
273,Product Launch 273,Product Launch,Education,66561,9545,150000,958,10.04,Completed,2026-04-11
274,Email Marketing 274,Email Marketing,E-commerce,73337,8759,150000,1026,11.72,Completed,2026-01-18
275,Retargeting 275,Retargeting,Healthcare,54369,11649,150000,1676,14.4,Completed,2026-05-09
276,Retargeting 276,Retargeting,Finance,54326,11443,150000,1632,14.27,Completed,2026-05-08
277,Product Launch 277,Product Launch,Education,68191,7198,150000,534,7.42,Completed,2026-03-04
278,Festival Offer 278,Festival Offer,Retail,72441,6325,150000,729,11.53,Completed,2026-04-13
279,Awareness Campaign 279,Awareness Campaign,Technology,20509,2080,88521,152,7.34,Completed,2026-04-20
280,Awareness Campaign 280,Awareness Campaign,Education,67786,2502,150000,129,5.18,Active,2026-04-22
281,Email Marketing 281,Email Marketing,Healthcare,80168,12271,150000,933,7.6,Paused,2026-05-17
282,Festival Offer 282,Festival Offer,Retail,26802,8992,150000,830,9.24,Active,2026-04-14
283,Retargeting 283,Retargeting,E-commerce,7440,4492,52207,700,15.58,Completed,2026-04-12
